grupo,indicador,resultado,cv
Total,piso_tierra,0.2498694926673744,0.01735203749788537
Total,agua_red_publica,0.8815575353518771,0.004777115059097211
Total,desague_red_publica,0.726971945707423,0.007985009105669629
Total,electricidad,0.9549319290585906,0.0019539076713313624
Total,cocina_lena,0.34804826006292894,0.014313086349859967
costa norte,piso_tierra,0.23799575638017256,0.04345921361443458
costa norte,agua_red_publica,0.8891017876260904,0.009979389122568483
costa norte,desague_red_publica,0.7671838495378565,0.018768837574147365
costa norte,electricidad,0.9762602383339971,0.0031862897108414913
costa norte,cocina_lena,0.2877464897510039,0.04524978201444002
costa centro,piso_tierra,0.11286445513930402,0.07333435823951454
costa centro,agua_red_publica,0.9086347006930705,0.012075168576782216
costa centro,desague_red_publica,0.8303515013824221,0.019292829739800572
costa centro,electricidad,0.9880697532702211,0.0024137776196538007
costa centro,cocina_lena,0.2199096316394318,0.06169821643780333
costa sur,piso_tierra,0.06801624602892452,0.12728917230384781
costa sur,agua_red_publica,0.890184649780531,0.01792767196181998
costa sur,desague_red_publica,0.858110844468354,0.02078435580640238
costa sur,electricidad,0.9803141133999346,0.006080901564081344
costa sur,cocina_lena,0.16265037022704018,0.08158920778272931
sierra norte,piso_tierra,0.6365418045096358,0.035140569597214344
sierra norte,agua_red_publica,0.876164376133636,0.014020517272592159
sierra norte,desague_red_publica,0.41990839068036573,0.06402701996848836
sierra norte,electricidad,0.8967269240232365,0.01467726316580005
sierra norte,cocina_lena,0.8079106132779627,0.02005980785116346
sierra centro,piso_tierra,0.5041722024397324,0.02551421591128526
sierra centro,agua_red_publica,0.8827050087511,0.008718018763583149
sierra centro,desague_red_publica,0.5864948920564963,0.02607446256790209
sierra centro,electricidad,0.9327546387268699,0.005933614854138329
sierra centro,cocina_lena,0.6776382192477491,0.01757935694514156
sierra sur,piso_tierra,0.37562593516312964,0.04009080582483782
sierra sur,agua_red_publica,0.8510903602220832,0.013652728093271834
sierra sur,desague_red_publica,0.6466739205318959,0.026956806698863005
sierra sur,electricidad,0.9437199692313445,0.006046741636352629
sierra sur,cocina_lena,0.4271086612308668,0.035395467512948184
selva,piso_tierra,0.2901695538678842,0.03573214386464875
selva,agua_red_publica,0.7639395646496526,0.015170309214229178
selva,desague_red_publica,0.4852486794584119,0.03432604198433992
selva,electricidad,0.8712875224906398,0.00976334142486982
selva,cocina_lena,0.6179544278496242,0.02029043796170095
lima metropolitana,piso_tierra,0.032809108170158315,0.11962065341834087
lima metropolitana,agua_red_publica,0.9322012958981047,0.010634993489043834
lima metropolitana,desague_red_publica,0.9331796348773421,0.010573183710131287
lima metropolitana,electricidad,0.9959149174420138,0.001574220430085658
lima metropolitana,cocina_lena,0.03701110004105775,0.1215218375993674
01,piso_tierra,0.4200683301029652,0.057325952140090154
01,agua_red_publica,0.8489697435854135,0.02317722187229695
01,desague_red_publica,0.5786009127572787,0.058471947134473165
01,electricidad,0.8633750351643409,0.025056454772991534
01,cocina_lena,0.7254828352180751,0.0348058568047976
02,piso_tierra,0.40238444201574103,0.07146534537185584
02,agua_red_publica,0.9073731232409944,0.017115571930364906
02,desague_red_publica,0.6941885710822574,0.04223661326555504
02,electricidad,0.9685881826726354,0.006495502176115355
02,cocina_lena,0.5551359716751296,0.055340111453474415
03,piso_tierra,0.6334547490550393,0.053045000088241284
03,agua_red_publica,0.9545871650568912,0.008916330159720546
03,desague_red_publica,0.6065864947410171,0.0645719173519378
03,electricidad,0.9505983492243906,0.010821896379954057
03,cocina_lena,0.8046483475045368,0.029138726570134287
04,piso_tierra,0.06584161209063023,0.15521464490481138
04,agua_red_publica,0.9173385778346347,0.015554059880329641
04,desague_red_publica,0.827681132207042,0.025228596904884108
04,electricidad,0.9847317607131919,0.004798914507547301
04,cocina_lena,0.15978068222665898,0.09470196973730038
05,piso_tierra,0.6146186038569051,0.04509674239910764
05,agua_red_publica,0.9137788944758114,0.0157412888575683
05,desague_red_publica,0.6339081509356891,0.05297173882661811
05,electricidad,0.9135596305308914,0.01630554065742499
05,cocina_lena,0.773285885265921,0.028818671989495018
06,piso_tierra,0.5696756758347411,0.04718244721589532
06,agua_red_publica,0.9032990430911685,0.013624050050795249
06,desague_red_publica,0.461881291238238,0.07232282889212513
06,electricidad,0.9071703268659327,0.015630404823751533
06,cocina_lena,0.7673230146629164,0.029074826459338576
07,piso_tierra,0.038281859473530015,0.17748116402811118
07,agua_red_publica,0.960455587400423,0.00988193263861845
07,desague_red_publica,0.9621216186492708,0.0096049624967884
07,electricidad,0.997305245367164,0.0020086845959630248
07,cocina_lena,0.054040380869429146,0.17432766159143184
08,piso_tierra,0.3843612884190004,0.07319451981209116
08,agua_red_publica,0.9325482579465552,0.013698406753572503
08,desague_red_publica,0.6842401431220518,0.045604757608174444
08,electricidad,0.9351441056718691,0.013247688699532037
08,cocina_lena,0.4806623973922666,0.0669131623344916
09,piso_tierra,0.6877986052367044,0.041092013242792096
09,agua_red_publica,0.8648097839750971,0.023224790975322672
09,desague_red_publica,0.4061860879022135,0.08790388291807223
09,electricidad,0.8987497573646098,0.01898267085992332
09,cocina_lena,0.8261609474127326,0.026743408685912125
10,piso_tierra,0.5007532454957219,0.05590451334869023
10,agua_red_publica,0.7599293392650124,0.03234774753926331
10,desague_red_publica,0.4628016475372169,0.07312060763777732
10,electricidad,0.8831779638947695,0.018638152914723607
10,cocina_lena,0.7178489371942193,0.03457521953376316
11,piso_tierra,0.06884371923607974,0.11722823064148498
11,agua_red_publica,0.9229640777922327,0.013058362410737583
11,desague_red_publica,0.8897501897956649,0.015428575173514413
11,electricidad,0.987064694459222,0.0035992781420544225
11,cocina_lena,0.12799227786168155,0.10316080582040821
12,piso_tierra,0.31186442807960374,0.069644414427833
12,agua_red_publica,0.8962814679478633,0.01570389392914524
12,desague_red_publica,0.6468033619688205,0.04533262694225323
12,electricidad,0.923886972211717,0.012924320389918673
12,cocina_lena,0.5193130198904338,0.046576398403790874
13,piso_tierra,0.3026000187455038,0.07366521457912145
13,agua_red_publica,0.9151632410542432,0.014749582117015105
13,desague_red_publica,0.7660699605551106,0.03251738575072688
13,electricidad,0.9766143720745186,0.0057783889186966714
13,cocina_lena,0.3930102415274205,0.060018325662257066
14,piso_tierra,0.23346392910267366,0.08340196454240043
14,agua_red_publica,0.9121722171089788,0.01574650089335691
14,desague_red_publica,0.7922565574286452,0.031140779700345508
14,electricidad,0.9698184561797675,0.007643943241123357
14,cocina_lena,0.24860539204432938,0.09003159245477554
15,piso_tierra,0.04737905051530316,0.09166518043942404
15,agua_red_publica,0.9254486998270397,0.010858902070117422
15,desague_red_publica,0.9106617877635651,0.01129924358880485
15,electricidad,0.9947629851398213,0.001617866544800553
15,cocina_lena,0.06687421965151594,0.08156073793762939
