nivel,grupo,indicador,resultado,cv
"total","Total","piso_tierra",.2498695,.0160471
"total","Total","agua_red_publica",.8815575,.0047621
"total","Total","desague_red_publica",.7269719,.0069488
"total","Total","electricidad",.9549319,.0018276
"total","Total","cocina_lena",.3480483,.0129111
"dominio_enaho","costa centro","piso_tierra",.1128645,.0718178
"dominio_enaho","costa centro","agua_red_publica",.9086347,.011647
"dominio_enaho","costa centro","desague_red_publica",.8303515,.0181599
"dominio_enaho","costa centro","electricidad",.9880698,.0023184
"dominio_enaho","costa centro","cocina_lena",.2199096,.0582256
"dominio_enaho","costa norte","piso_tierra",.2379958,.0394061
"dominio_enaho","costa norte","agua_red_publica",.8891018,.0095781
"dominio_enaho","costa norte","desague_red_publica",.7671838,.0164223
"dominio_enaho","costa norte","electricidad",.9762602,.0030524
"dominio_enaho","costa norte","cocina_lena",.2877465,.0388795
"dominio_enaho","costa sur","piso_tierra",.0680162,.1228219
"dominio_enaho","costa sur","agua_red_publica",.8901846,.0156431
"dominio_enaho","costa sur","desague_red_publica",.8581108,.0168861
"dominio_enaho","costa sur","electricidad",.9803141,.005608
"dominio_enaho","costa sur","cocina_lena",.1626504,.0746354
"dominio_enaho","lima metropolitana","piso_tierra",.0328091,.1196283
"dominio_enaho","lima metropolitana","agua_red_publica",.9322013,.0106386
"dominio_enaho","lima metropolitana","desague_red_publica",.9331796,.010577
"dominio_enaho","lima metropolitana","electricidad",.9959149,.0015743
"dominio_enaho","lima metropolitana","cocina_lena",.0370111,.1215813
"dominio_enaho","selva","piso_tierra",.2901696,.0349052
"dominio_enaho","selva","agua_red_publica",.7639396,.0147866
"dominio_enaho","selva","desague_red_publica",.4852487,.0299754
"dominio_enaho","selva","electricidad",.8712875,.0083332
"dominio_enaho","selva","cocina_lena",.6179544,.0168662
"dominio_enaho","sierra centro","piso_tierra",.5041722,.0214409
"dominio_enaho","sierra centro","agua_red_publica",.882705,.0080526
"dominio_enaho","sierra centro","desague_red_publica",.5864949,.0190405
"dominio_enaho","sierra centro","electricidad",.9327546,.005493
"dominio_enaho","sierra centro","cocina_lena",.6776382,.0146924
"dominio_enaho","sierra norte","piso_tierra",.6365418,.0217487
"dominio_enaho","sierra norte","agua_red_publica",.8761644,.0132045
"dominio_enaho","sierra norte","desague_red_publica",.4199084,.0382809
"dominio_enaho","sierra norte","electricidad",.8967269,.0141137
"dominio_enaho","sierra norte","cocina_lena",.8079106,.014341
"dominio_enaho","sierra sur","piso_tierra",.3756259,.0329272
"dominio_enaho","sierra sur","agua_red_publica",.8510904,.0139882
"dominio_enaho","sierra sur","desague_red_publica",.6466739,.0210127
"dominio_enaho","sierra sur","electricidad",.94372,.0056428
"dominio_enaho","sierra sur","cocina_lena",.4271087,.0314128
